No.;Precision;Recall;F1Score;Accuracy
1;59.154929577464785;59.154929577464785;59.154929577464785;98.73339723401342
2;53.17460317460318;51.14503816793893;52.140077821011666;99.0914990266061
3;61.34020618556701;37.65822784810127;46.66666666666667;98.41012329656067
4;53.70370370370371;46.774193548387096;50.0;98.77974989915288
5;79.33884297520662;72.72727272727273;75.88932806324111;98.64493322859387
6;47.783251231527096;48.258706467661696;48.019801980198025;97.97785267212326
7;58.720930232558146;69.17808219178082;63.52201257861636;98.34162520729684
8;59.59595959595959;58.415841584158414;59.0;98.4927578854496
9;69.18238993710692;67.48466257668711;68.32298136645963;98.63724853990915
10;63.22869955156951;64.38356164383562;63.80090497737556;98.99226495260922
11;73.21428571428571;77.35849056603774;75.22935779816513;99.66832504145937
12;64.62882096069869;64.34782608695652;64.48801742919389;96.77779327660761
13;72.59615384615384;48.089171974522294;57.85440613026819;98.4595371765028
14;69.28571428571428;76.98412698412699;72.93233082706767;98.27636013480982
15;69.23076923076923;62.06896551724138;65.45454545454545;98.57276119402985
16;61.29032258064516;59.68586387434554;60.47745358090185;98.34162520729684
17;56.00000000000001;61.40350877192983;58.57740585774059;99.13634076806976
18;64.1025641025641;56.17977528089888;59.88023952095809;98.65714407903178
19;67.22532588454376;73.8241308793456;70.37037037037037;98.99389691220013
20;53.70370370370371;63.59649122807017;58.23293172690763;97.28806945663838
21;56.29139072847682;60.71428571428571;58.41924398625429;99.03340440653874
22;65.17857142857143;61.34453781512605;63.20346320346321;99.25373134328358
23;62.41610738255034;72.65625;67.1480144404332;99.30266699290434
24;50.0;43.44262295081967;46.49122807017544;98.83520085034768
25;69.3069306930693;60.86956521739131;64.81481481481481;99.20463472113119
26;72.75541795665634;64.38356164383562;68.3139534883721;98.41768600605992
27;66.87116564417178;63.005780346820806;64.8809523809524;99.19678714859438
28;70.85201793721974;73.83177570093457;72.31121281464532;98.77258444619011
29;70.25641025641025;69.54314720812182;69.89795918367346;98.53598250784296
30;64.33566433566433;74.19354838709677;68.91385767790263;98.93918835574195
31;69.73684210526315;51.08433734939759;58.97079276773296;97.78342330898698
32;74.75247524752476;63.4453781512605;68.63636363636363;97.39154693820616
33;71.21212121212122;67.14285714285714;69.11764705882352;99.29473511563064
34;50.81967213114754;50.61224489795918;50.715746421267895;97.77724281816724
35;64.02877697841727;63.12056737588653;63.57142857142858;98.75621890547264
36;50.90252707581227;68.11594202898551;58.26446280991735;99.10183595297846
37;70.1923076923077;63.47826086956522;66.66666666666666;99.21445404556167
38;58.333333333333336;66.91176470588235;62.328767123287676;98.82794615877667
39;57.692307692307686;52.44755244755245;54.94505494505495;98.77963125548726
40;50.0;59.166666666666664;54.19847328244274;99.1131300021631
41;60.37735849056604;68.57142857142857;64.21404682274247;98.44367904069397
42;70.0;77.30061349693251;73.46938775510205;99.32529135146186
43;56.69291338582677;70.58823529411765;62.882096069869;99.1563919532771
44;63.212435233160626;58.3732057416268;60.69651741293532;98.37437018728016
45;76.28205128205127;70.0;73.00613496932515;99.58337148612765
46;57.98816568047337;62.82051282051282;60.30769230769231;99.06716417910447
47;57.407407407407405;58.490566037735846;57.943925233644855;98.97635715229164
48;70.66666666666667;53.0;60.57142857142856;98.7534853206495
49;66.21160409556313;59.50920245398773;62.68174474959613;97.89513968618446
50;66.45962732919256;41.47286821705426;51.07398568019092;98.05414189796005
