Combination;Exp. No.;DataSet;Precision;Recall;F1Score;Accuracy
T100:GS48;1;Test;98.95388446042917;97.76046738072056;98.35355583817413;99.51047422373537
T100:GS48;1;GS91;91.5625;87.593423019432;89.53399541634836;97.8973725732318
T100:GS36;1;Test;99.12380754873496;97.98083329062676;98.54900646890545;99.5781473833045
T100:GS36;1;GS91;92.07459207459208;88.56502242152466;90.28571428571428;98.09288605337176
T100:GS24;1;Test;99.17845653602684;97.9569176104819;98.56390247256289;99.5634964930885
T100:GS24;1;GS91;93.27599687255669;89.16292974588939;91.17309896828431;98.19235782396927
T100:GS12;1;Test;99.20751648123475;97.94325150754199;98.57133033043358;99.56977544603821
T100:GS12;1;GS91;93.59177215189874;88.41554559043348;90.93005380476556;98.17520751869382
T100:GS6;1;Test;99.195932977123;97.99620765643418;98.59242072699149;99.58256590575058
T100:GS6;1;GS91;92.68482490272373;89.01345291479821;90.81204727411361;98.09631611442684
T100:GS3;1;Test;99.24026097641175;97.95862587334939;98.59527862313234;99.57582184517497
T100:GS3;1;GS91;92.56230529595015;88.82660687593423;90.65598779557588;98.1580572134184
